Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
1992-01-08,1992,1,0.0,23.2,12.2,0.0,79.0,1016.1,5.0
1993-01-08,1993,1,0.0,27.0,17.2,3.0,79.0,1015.0,3.3
1994-01-08,1994,1,0.0,26.0,11.0,0.0,74.0,1014.4,4.0
1995-01-08,1995,1,0.0,26.0,12.7,6.0,65.0,1016.9,3.0
1996-01-08,1996,1,0.0,27.5,12.2,0.0,75.0,1016.4,2.0
1997-01-08,1997,1,0.0,26.4,12.0,1.0,74.0,1017.9,2.0
1998-01-08,1998,1,0.0,16.0,11.1,8.0,83.0,1016.8,1.2
1999-01-08,1999,1,0.0,26.9,13.7,1.0,77.0,1011.9,2.0
2000-01-08,2000,1,0.0,21.0,10.2,0.0,83.0,1014.1,1.3
2001-01-08,2001,1,0.0,23.4,11.3,0.0,66.0,1013.1,1.5
2002-01-08,2002,1,0.0,25.8,15.2,4.0,67.0,1018.1,0.0
2003-01-08,2003,1,0.0,15.7,12.2,5.0,91.0,1017.5,3.7
2004-01-08,2004,1,0.0,25.0,15.2,1.0,75.0,1017.1,2.7
2005-01-08,2005,1,0.0,25.0,15.1,1.0,55.0,1014.5,2.0
2006-01-08,2006,1,0.0,20.3,12.6,0.0,90.0,1014.5,6.0
2007-01-08,2007,1,0.0,23.0,12.2,1.0,78.0,1016.5,3.0
2008-01-08,2008,1,0.0,26.8,14.8,0.0,69.0,1015.1,3.0
2009-01-08,2009,1,0.0,28.0,16.8,0.0,68.0,1017.7,0.0
2010-01-08,2010,1,0.0,27.3,11.5,0.0,70.0,1013.9,2.0
2011-01-08,2011,1,0.0,24.8,12.6,1.0,77.0,1011.2,2.0
2012-01-08,2012,1,0.0,26.3,17.8,6.0,67.0,1016.4,2.0
2013-01-08,2013,1,0.0,18.2,9.6,0.0,71.0,1015.6,2.2
2014-01-08,2014,1,0.0,22.8,10.7,0.0,60.0,1016.9,2.0
2015-01-08,2015,1,0.0,22.9,12.2,0.0,69.0,1013.9,2.0
2016-01-08,2016,1,0.0,26.8,14.4,2.0,71.0,1014.6,2.0
2017-01-08,2017,1,0.0,27.0,13.8,0.0,66.0,1011.4,2.0
1988-01-09,1988,1,0.0,26.3,13.9,3.0,79.0,1016.6,2.0
1989-01-09,1989,1,0.0,27.9,13.4,0.0,75.0,1012.3,4.3
1990-01-09,1990,1,0.0,23.7,10.7,0.0,70.0,1016.3,3.5
1991-01-09,1991,1,0.0,25.5,13.5,1.0,70.0,1014.8,0.0
1992-01-09,1992,1,0.0,23.2,13.0,1.0,75.0,1018.0,2.0
1993-01-09,1993,1,0.0,26.0,19.5,6.0,82.0,1015.6,2.0
1994-01-09,1994,1,0.0,26.0,11.2,0.0,78.0,1013.9,2.0
1995-01-09,1995,1,2.0,20.8,16.0,7.0,86.0,1017.4,2.4
1996-01-09,1996,1,0.0,26.8,13.0,0.0,71.0,1015.3,2.0
1997-01-09,1997,1,0.0,26.7,14.8,3.0,72.0,1017.8,1.0
1998-01-09,1998,1,0.0,17.6,11.6,8.0,82.0,1014.7,1.7
1999-01-09,1999,1,0.0,26.4,13.3,2.0,73.0,1012.5,1.3
2000-01-09,2000,1,0.0,23.3,10.1,0.0,73.0,1014.2,1.5
2001-01-09,2001,1,0.0,23.4,11.8,3.0,69.0,1014.3,1.0
2002-01-09,2002,1,0.0,26.2,13.5,0.0,60.0,1017.8,3.3
